Student_ID,Attendance,Internal_Marks,Previous_Score,Study_Hours,Exam_Score,Performance_Level,Risk_Level
1001,98,50,54,3,60.0,Average,Moderate Risk
1002,88,87,67,9,83.1,Good,Low Risk
1003,74,55,73,1,63.3,Average,Moderate Risk
1004,67,72,41,1,57.0,Average,Moderate Risk
1005,80,48,71,4,55.8,Average,Moderate Risk
1006,98,45,62,9,72.1,Good,Low Risk
1007,78,55,61,6,65.1,Average,Moderate Risk
1008,82,68,90,3,78.0,Good,Low Risk
1009,70,42,64,1,52.4,Average,Moderate Risk
1010,70,59,61,4,57.9,Average,Moderate Risk
1011,83,75,61,9,77.6,Good,Low Risk
1012,95,58,88,3,59.7,Average,Moderate Risk
1013,99,65,91,9,89.8,Excellent,Low Risk
1014,83,42,81,7,70.8,Good,Low Risk
1015,62,58,45,4,58.2,Average,Moderate Risk
1016,81,59,54,3,56.7,Average,Moderate Risk
1017,61,71,93,10,80.4,Good,Low Risk
1018,83,46,82,5,62.6,Average,Moderate Risk
1019,89,91,76,5,72.8,Good,Low Risk
1020,97,80,72,3,69.2,Average,Moderate Risk
1021,61,72,47,9,57.5,Average,Moderate Risk
1022,80,79,92,4,79.3,Good,Low Risk
1023,92,78,83,5,66.3,Average,Moderate Risk
1024,71,57,83,4,73.8,Good,Low Risk
1025,81,79,44,5,56.1,Average,Moderate Risk
1026,84,40,78,7,74.0,Good,Low Risk
1027,86,50,43,9,60.7,Average,Moderate Risk
1028,87,67,45,7,69.9,Average,Moderate Risk
1029,75,64,84,5,65.2,Average,Moderate Risk
1030,74,89,71,10,91.3,Excellent,Low Risk
1031,62,62,91,10,77.1,Good,Low Risk
1032,96,70,69,7,81.6,Good,Low Risk
1033,66,69,86,10,79.1,Good,Low Risk
1034,80,81,74,5,74.6,Good,Low Risk
1035,68,74,94,3,71.8,Good,Low Risk
1036,98,46,79,7,69.4,Average,Moderate Risk
1037,77,55,91,2,56.1,Average,Moderate Risk
1038,63,65,55,9,60.5,Average,Moderate Risk
1039,84,87,52,10,80.4,Good,Low Risk
1040,73,91,89,10,85.4,Excellent,Low Risk
1041,68,88,81,1,54.9,Average,Moderate Risk
1042,85,41,69,6,65.4,Average,Moderate Risk
1043,61,40,58,7,49.7,Needs Improvement,High Risk
1044,79,87,56,8,70.0,Good,Low Risk
1045,87,51,95,10,80.6,Good,Low Risk
1046,66,44,58,9,57.7,Average,Moderate Risk
1047,67,76,67,2,60.9,Average,Moderate Risk
1048,94,71,94,10,98.2,Excellent,Low Risk
1049,73,94,65,2,64.8,Average,Moderate Risk
1050,76,48,76,5,57.1,Average,Moderate Risk
1051,95,80,65,5,74.9,Good,Low Risk
1052,99,74,92,6,78.1,Good,Low Risk
1053,63,58,62,3,54.8,Average,Moderate Risk
1054,61,87,48,8,70.9,Good,Low Risk
1055,65,55,51,1,47.3,Needs Improvement,High Risk
1056,63,42,92,6,63.6,Average,Moderate Risk
1057,88,59,40,4,58.7,Average,Moderate Risk
1058,77,63,40,1,58.1,Average,Moderate Risk
1059,85,93,86,7,83.4,Good,Low Risk
1060,93,95,73,9,88.6,Excellent,Low Risk
1061,69,72,71,4,68.9,Average,Moderate Risk
1062,95,63,93,4,76.3,Good,Low Risk
1063,73,91,87,6,77.5,Good,Low Risk
1064,90,50,64,3,64.0,Average,Moderate Risk
1065,74,88,79,6,72.3,Good,Low Risk
1066,67,47,84,7,64.7,Average,Moderate Risk
1067,73,75,92,10,79.9,Good,Low Risk
1068,82,77,40,10,76.5,Good,Low Risk
1069,99,79,55,3,74.1,Good,Low Risk
1070,80,59,78,7,72.3,Good,Low Risk
1071,75,74,44,3,58.3,Average,Moderate Risk
1072,77,87,61,2,60.2,Average,Moderate Risk
1073,83,64,68,10,73.4,Good,Low Risk
1074,85,74,94,4,69.0,Average,Moderate Risk
1075,84,64,42,8,55.8,Average,Moderate Risk
1076,100,68,51,9,74.2,Good,Low Risk
1077,88,57,65,7,67.9,Average,Moderate Risk
1078,74,85,55,1,70.6,Good,Low Risk
1079,60,57,90,3,68.4,Average,Moderate Risk
1080,84,41,76,9,73.1,Good,Low Risk
1081,66,93,61,1,72.1,Good,Low Risk
1082,68,74,68,9,81.2,Good,Low Risk
1083,83,55,53,8,56.5,Average,Moderate Risk
1084,60,80,67,1,63.1,Average,Moderate Risk
1085,67,75,44,6,65.8,Average,Moderate Risk
1086,83,72,86,5,72.4,Good,Low Risk
1087,70,43,88,6,57.3,Average,Moderate Risk
1088,76,72,69,10,80.8,Good,Low Risk
1089,67,53,85,5,53.5,Average,Moderate Risk
1090,94,60,91,6,76.1,Good,Low Risk
1091,94,87,44,5,67.5,Average,Moderate Risk
1092,92,59,51,5,57.2,Average,Moderate Risk
1093,64,95,55,4,72.2,Good,Low Risk
1094,98,47,65,3,60.6,Average,Moderate Risk
1095,100,46,65,3,61.9,Average,Moderate Risk
1096,87,42,87,4,68.6,Average,Moderate Risk
1097,66,56,60,9,66.3,Average,Moderate Risk
1098,68,72,78,2,64.4,Average,Moderate Risk
1099,67,87,75,9,83.7,Good,Low Risk
1100,71,51,72,1,55.9,Average,Moderate Risk
1101,93,90,69,1,70.9,Good,Low Risk
1102,92,61,76,5,79.2,Good,Low Risk
1103,82,94,62,6,82.4,Good,Low Risk
1104,83,61,49,6,62.9,Average,Moderate Risk
1105,96,85,93,3,74.2,Good,Low Risk
1106,94,69,44,7,72.4,Good,Low Risk
1107,99,77,75,9,85.7,Excellent,Low Risk
1108,81,77,73,10,90.1,Excellent,Low Risk
1109,86,84,91,8,90.4,Excellent,Low Risk
1110,94,90,70,6,83.8,Good,Low Risk
1111,60,93,49,8,71.2,Good,Low Risk
1112,94,47,58,5,57.7,Average,Moderate Risk
1113,96,66,71,8,76.6,Good,Low Risk
1114,73,66,40,10,70.4,Good,Low Risk
1115,62,73,95,4,60.5,Average,Moderate Risk
1116,60,60,44,10,70.2,Good,Low Risk
1117,64,69,84,8,84.0,Good,Low Risk
1118,85,72,43,10,63.9,Average,Moderate Risk
1119,73,67,55,2,49.1,Needs Improvement,High Risk
1120,98,86,63,5,77.2,Good,Low Risk
1121,86,72,55,9,71.9,Good,Low Risk
1122,68,44,94,4,63.0,Average,Moderate Risk
1123,74,87,41,6,66.5,Average,Moderate Risk
1124,74,58,88,1,54.8,Average,Moderate Risk
1125,85,43,67,9,75.3,Good,Low Risk
1126,72,74,71,1,62.3,Average,Moderate Risk
1127,91,88,66,5,72.9,Good,Low Risk
1128,98,56,59,4,71.6,Good,Low Risk
1129,91,83,63,3,66.9,Average,Moderate Risk
1130,63,67,51,6,54.4,Average,Moderate Risk
1131,89,69,89,2,70.1,Good,Low Risk
1132,96,68,74,3,70.7,Good,Low Risk
1133,82,85,72,5,76.7,Good,Low Risk
1134,98,92,72,9,91.6,Excellent,Low Risk
1135,74,45,90,2,61.1,Average,Moderate Risk
1136,88,74,82,10,87.1,Excellent,Low Risk
1137,95,80,76,8,79.9,Good,Low Risk
1138,72,76,51,2,54.1,Average,Moderate Risk
1139,91,63,42,5,65.9,Average,Moderate Risk
1140,66,68,40,7,62.1,Average,Moderate Risk
1141,81,88,72,8,84.8,Good,Low Risk
1142,87,85,79,1,60.5,Average,Moderate Risk
1143,61,92,49,6,64.6,Average,Moderate Risk
1144,65,70,82,1,69.3,Average,Moderate Risk
1145,87,74,83,2,71.5,Good,Low Risk
1146,87,72,68,1,63.8,Average,Moderate Risk
1147,79,91,52,5,73.6,Good,Low Risk
1148,89,60,51,10,84.0,Good,Low Risk
1149,70,71,70,9,84.3,Good,Low Risk
1150,87,62,85,6,65.7,Average,Moderate Risk
1151,84,72,41,1,48.8,Needs Improvement,High Risk
1152,98,42,90,1,53.5,Average,Moderate Risk
1153,92,57,89,2,62.6,Average,Moderate Risk
1154,60,64,74,9,71.0,Good,Low Risk
1155,86,81,62,3,68.5,Average,Moderate Risk
1156,72,70,56,1,47.3,Needs Improvement,High Risk
1157,100,93,65,5,69.8,Average,Moderate Risk
1158,62,42,47,7,50.0,Average,Moderate Risk
1159,98,79,68,6,81.8,Good,Low Risk
1160,65,85,65,1,65.5,Average,Moderate Risk
